Title;Company;Location;Salary;Seniority
Summer Internship in Technology;Luminor Bank, AB;Vilnius / Remote;€ 1050;Junior
Technical Lead;AS Inbank filialas;Vilnius;€ 6200;Senior
SENIOR IT PROJECT MANAGER (F/M/D) (INFRASTRUCTURE);Ignitis Group;Vilnius;€ 3757 – 5635;Senior
Director of Engineering;AS Inbank filialas;Vilnius;€ 9000;Unspecified
IT paslaugų produktų vadovė (-as);Blue Bridge grupė;Vilnius;€ 3400 – 4000;Unspecified
Senior Data Engineer;Blue Bridge grupė;Vilnius;€ 4000 – 5500;Senior
IS specialistas (-ė);Emplonet, UAB;Vilnius;€ 2900 – 3100;Unspecified
STAŽUOTOJA (-AS) DUOMENŲ ANALITIKOS SKYRIUJE;Ignitis Group;Vilnius;€ 1076 – 1614;Unspecified
Configuration Engineer (mid/senior);Quadigi, UAB;Kaunas / Remote;€ 3800 – 5500;Senior
DevOps Engineer (mid/senior);Quadigi, UAB;Vilnius / Remote;€ 3800 – 5700;Senior
Data Solutions Architect;Kilo Health - UAB Kilo grupė;Vilnius;€ 5200 – 7800;Unspecified
Senior/Principal C++/Qt Engineer;Quadigi, UAB;Kaunas / Remote;€ 4000 – 6800;Senior
Embedded Software Engineer - C/C++;Quadigi, UAB;Vilnius / Remote;€ 4000 – 6300;Unspecified
Mid/Senior C++/Qt Engineer;Quadigi, UAB;Kauno apskritis / Remote;€ 3500 – 6300;Senior
Junior .NET Software Engineer;Adform;Vilnius;€ 2350 – 2750;Junior
IT sistemų specialistas (-ė);Emplonet, UAB;Vilnius;€ 2454 – 2806;Unspecified
Data Engineer;Grafton Lithuania, UAB;Vilnius;€ 3750 – 6250;Unspecified
QA Engineer;NRD Companies;Vilnius / Remote;€ 2200 – 3700;Unspecified
IT verslo analitikas (-ė);Lietuvos draudimas, AB;Vilnius;€ 2900 – 3700;Unspecified
IT PAGALBOS KONSULTANTAS (-Ė);MAXIMA;Vilnius;€ 1200 – 1400;Unspecified
IT Security Analyst (Vulnerability Management) | SEB, Vilnius;SEB;Vilnius;€ 2850 – 4250;Unspecified
Information Security Manager (IAM) | SEB, Vilnius;SEB;Vilnius;€ 4350 – 6550;Unspecified
Information Security Consultant | SEB, Vilnius;SEB;Vilnius;€ 3650 – 5450;Unspecified
ServiceNow Application Developer;COWI Lietuva, UAB;Vilnius;€ 3300 – 4500;Unspecified
Jaunesnysis (-ioji) analitikas (-ė) Regionų kreditavimo skyriuje;Šiaulių bankas, AB;Vilnius / Remote;€ 1670 – 2500;Unspecified
Data Scientist;Eleving Group;Vilnius / Remote;€ 3500 – 4500;Unspecified
System (Azure) Administrator;Emplonet, UAB;Kaunas;€ 4132.24 – 4462.8;Unspecified
Back-End Software developer (Java);Emplonet, UAB;Kaunas;€ 4600 – 5500;Unspecified
DevOps Engineer;Emplonet, UAB;Kaunas;€ 4600 – 5500;Unspecified
Mid Level C++ Software Engineer;Emplonet, UAB;Vilnius;€ 3800 – 5000;Mid
FP&A Business Partner;Baltic Amadeus, UAB;Vilnius;€ 3300 – 4500;Unspecified
PHP programuotojas (-a);Vilniaus Gedimino technikos universitetas/VILNIUS TECH;Vilnius;€ 2000 – 2800;Unspecified
OPERATIONAL TECHNOLOGY SYSTEM ADMINISTRATOR (OTSA) (F/M/D) | IGNITIS RENEWABLES;Ignitis Group;Vilnius;€ 2401 – 3602;Unspecified
Darbo užmokesčio sistemų diegimo projektų konsultantas (-ė);Digmatix;Vilnius / Remote;€ 2300 – 3400;Unspecified
Junior Digital Marketing Manager;Deep Media Technologies;Vilnius / Remote;€ 1800 – 2300;Junior
Intermediate Digital Marketing Manager;Deep Media Technologies;Vilnius / Remote;€ 2400 – 3000;Unspecified
Buhalterinės apskaitos modulio IT produkto vadovas (-ė);UAB Instantė;Vilnius / Remote;€ 3000 – 4000;Unspecified
