Title,Company,Location,Salary,Seniority,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
DevOps Engineer,"Wix.com, UAB",Vilnius,€ 4500 – 6000,Unspecified,4500.0,6000.0,5250.0,1500.0,DevOps,Not Specified
Experienced Backend Engineer - Wix Blog,"Wix.com, UAB",Vilnius,€ 3500 – 5000,Unspecified,3500.0,5000.0,4250.0,1500.0,Back-end developer,Senior
Komercijos vadybininkas (-ė),"Iremas, UAB",Jonava,€ 1700 – 3000,Unspecified,1700.0,3000.0,2350.0,1300.0,Business Analyst,Not Specified
Senior Backend Engineer – CTO Group,"Wix.com, UAB",Vilnius,€ 5000 – 8000,Senior,5000.0,8000.0,6500.0,3000.0,Back-end developer,Senior
Techninės kontrolės inžinierius (-ė),"Iremas, UAB",Jonava,€ 1600 – 3000,Unspecified,1600.0,3000.0,2300.0,1400.0,Other,Not Specified
IT administratorius (-ė),Lietuvos nacionalinis radijas ir televizija VŠĮ,Vilnius,€ 2200 – 2700,Unspecified,2200.0,2700.0,2450.0,500.0,IT Support,Not Specified
"Applied AI: Senior Software Engineer, AI Engineering","Nasdaq Vilnius Services, UAB",Vilnius,€ 4100 – 4500,Senior,4100.0,4500.0,4300.0,400.0,Data Scientist,Senior
Senior DevOps Engineer,"Nasdaq Vilnius Services, UAB",Vilnius,€ 5000 – 6200,Senior,5000.0,6200.0,5600.0,1200.0,DevOps,Senior
GEN AI Platform: Software Developer Specialist,"Nasdaq Vilnius Services, UAB",Vilnius,€ 4100 – 4500,Unspecified,4100.0,4500.0,4300.0,400.0,Software Developer,Not Specified
Tarptautinių projektų vadybininkas (-ė),"Klaipėdos mokslo ir technologijų parkas, VšĮ",Klaipėda,€ 2000 – 2500,Unspecified,2000.0,2500.0,2250.0,500.0,Business Analyst,Not Specified
"Senior Software Developer in Payments team | SEB, Vilnius",SEB,Vilnius,€ 3650 – 5450,Senior,3650.0,5450.0,4550.0,1800.0,Software Developer,Senior
"Full stack developer seeking new digital challenges | SEB, Vilnius",SEB,Vilnius,€ 2850 – 4250,Unspecified,2850.0,4250.0,3550.0,1400.0,Full-stack Developer,Not Specified
Application Management Support Specialist,"COWI Lietuva, UAB",Vilnius,€ 2600 – 3500,Unspecified,2600.0,3500.0,3050.0,900.0,IT Support,Not Specified
Mid/Senior QA Engineer for Progress OpenEdge Unit,"Baltic Amadeus, UAB",Vilnius / Remote,€ 2500 – 3800,Senior,2500.0,3800.0,3150.0,1300.0,QA Engineer,Mid
Išmaniųjų laikrodžių ir elektronikos aksesuarų grupės vadovas,"TELE2, UAB",Vilnius / Remote,€ 3200 – 3800,Unspecified,3200.0,3800.0,3500.0,600.0,Other,Not Specified
ERP KONSULTANTAS (-Ė) – Galimybė keisti karjeros kryptį!,"People Link, UAB",Kaunas,€ 2600 – 3500,Unspecified,2600.0,3500.0,3050.0,900.0,Other,Not Specified
BI Developer,"Emplonet, UAB",Vilnius,€ 3500 – 5000,Unspecified,3500.0,5000.0,4250.0,1500.0,Software Developer,Not Specified
DI diegimo vadovas (-ė),"Mano būstas, UAB",Vilnius,€ 5500 – 7400,Unspecified,5500.0,7400.0,6450.0,1900.0,Other,Not Specified
BUSINESS IMPROVEMENT PROJECT MANAGER (F/M/D) | IGNITIS RENEWABLES,Ignitis Group,Vilnius,€ 2666 – 3999,Unspecified,2666.0,3999.0,3332.5,1333.0,Project Manager/Product Owner,Not Specified
BIM (statinio informacinio modeliavimo) koordinatorė (-ius),EPSO-G įmonių grupė,Vilnius,€ 3000 – 3700,Unspecified,3000.0,3700.0,3350.0,700.0,Business Analyst,Not Specified
IT inžinierė (-ius),Blue Bridge grupė,Vilnius,€ 1500 – 2000,Unspecified,1500.0,2000.0,1750.0,500.0,Other,Not Specified
Sistemų analitikė (-as),Blue Bridge grupė,Vilnius,€ 2200 – 4400,Unspecified,2200.0,4400.0,3300.0,2200.0,Other,Not Specified
"Mid Full-Stack Developer (Front-end focus – Angular) | SEB, Vilnius",SEB,Vilnius,€ 2850 – 5450,Mid,2850.0,5450.0,4150.0,2600.0,Front-end Web developer,Mid
"Enterprise Area Architect | SEB, Vilnius",SEB,Vilnius,€ 5900 – 8800,Unspecified,5900.0,8800.0,7350.0,2900.0,Other,Not Specified
Back-end Software Developer,"OnTarget Labs, LLC SIA",Latvia,€ 4500 – 6000,Unspecified,4500.0,6000.0,5250.0,1500.0,Back-end developer,Not Specified
Software Developer Lead,"OnTarget Labs, LLC SIA",Latvia,€ 6000 – 8000,Senior,6000.0,8000.0,7000.0,2000.0,Software Developer,Senior
PERFORMANCE DATA ENGINEER (F/M/D) | IGNITIS RENEWABLES,Ignitis Group,Vilnius,€ 2666 – 3999,Unspecified,2666.0,3999.0,3332.5,1333.0,Data Engineer,Not Specified
Vyr. sistemų architektas (-ė),"Registrų centras, VĮ",Vilnius,€ 3520 – 5280,Unspecified,3520.0,5280.0,4400.0,1760.0,System Administrator/Architect,Senior
Software Testing Engineer,"INTERSURGICAL, UAB",Vilnius,€ 2000 – 3200,Unspecified,2000.0,3200.0,2600.0,1200.0,QA Engineer,Not Specified
IT Administratorius (-ė),Digmatix,Vilnius / Remote,€ 2600 – 3600,Unspecified,2600.0,3600.0,3100.0,1000.0,IT Support,Not Specified
Vyr. Programuotojas (-a),"AB ""Kelių priežiūra""",Šiauliai / Remote,€ 3500 – 4500,Unspecified,3500.0,4500.0,4000.0,1000.0,Software Developer,Senior
Vyr. Programuotojas (-a),"AB ""Kelių priežiūra""",Kaunas / Remote,€ 3500 – 4500,Unspecified,3500.0,4500.0,4000.0,1000.0,Software Developer,Senior
Senior JAVA Developer for Pathway team,"Visma Tech, UAB",Vilnius / Remote,€ 3600 – 6300,Senior,3600.0,6300.0,4950.0,2700.0,Java Developer,Senior
Verslo analitikas (-ė) Produktų vystymo departamente,"Šiaulių bankas, AB",Kaunas / Remote,€ 2500 – 3750,Unspecified,2500.0,3750.0,3125.0,1250.0,Data Analyst,Not Specified
Verslo analitikas (-ė) Produktų vystymo departamente,"Šiaulių bankas, AB",Vilnius / Remote,€ 2600 – 3890,Unspecified,2600.0,3890.0,3245.0,1290.0,Data Analyst,Not Specified
"Product Owner for Jira and Confluence | SEB, Vilnius",SEB,Vilnius,€ 3000 – 4500,Unspecified,3000.0,4500.0,3750.0,1500.0,Project Manager/Product Owner,Not Specified
"IT Support Specialist at 1st Line Employee IT Support | SEB, Vilnius",SEB,Vilnius,€ 1750 – 1900,Unspecified,1750.0,1900.0,1825.0,150.0,IT Support,Not Specified
IT Business Analyst,"GetJet Airlines, UAB",Vilnius,€ 2800 – 4130,Unspecified,2800.0,4130.0,3465.0,1330.0,Business Analyst,Not Specified
Vyr. ekspertas (-ė) (Dirbtinis intelektas - Teisės sritis),"Inovacijų agentūra, VšĮ",Vilnius / Remote,€ 2500 – 3500,Unspecified,2500.0,3500.0,3000.0,1000.0,Data Scientist,Senior
Test Automation Engineer (Python),"QDev Technologies, UAB",Vilnius / Remote,€ 1900 – 4500,Unspecified,1900.0,4500.0,3200.0,2600.0,Python,Not Specified
Informacijos saugos vadovas (-ė) (CISO),Modus Automotive,Vilnius,€ 4000 – 7500,Unspecified,4000.0,7500.0,5750.0,3500.0,Security,Not Specified
Senior Flutter Developer,"Watts Lithuania, UAB",Vilnius,€ 5000 – 7000,Senior,5000.0,7000.0,6000.0,2000.0,Mobile Developer,Senior
.Net developer,"Emplonet, UAB",Kaunas,€ 4500 – 6000,Unspecified,4500.0,6000.0,5250.0,1500.0,.NET Developer,Not Specified
Help desk specialistas(-ė),"Labdata, UAB",Vilnius / Remote,€ 2100 – 2700,Unspecified,2100.0,2700.0,2400.0,600.0,IT Support,Not Specified
POWER PLATFORM DEVELOPER (F/M/D),Ignitis Group,Vilnius,€ 3121 – 4683,Unspecified,3121.0,4683.0,3902.0,1562.0,Software Developer,Not Specified
Business Analyst for Visma Idella team,"Visma Tech, UAB",Vilnius / Remote,€ 4100 – 5900,Unspecified,4100.0,5900.0,5000.0,1800.0,Business Analyst,Not Specified
Product Security Specialist,"Quadigi, UAB",Vilnius / Remote,€ 3800 – 5600,Unspecified,3800.0,5600.0,4700.0,1800.0,Security,Not Specified
Business Analyst for Progress OpenEdge Unit,"Baltic Amadeus, UAB",Vilnius / Remote,€ 3000 – 4200,Unspecified,3000.0,4200.0,3600.0,1200.0,Business Analyst,Not Specified
Android Developer (Junior),"Baltic Amadeus, UAB",Kaunas,€ 1100 – 2900,Junior,1100.0,2900.0,2000.0,1800.0,Mobile Developer,Junior
IT Project Manager (Data Solutions),"Baltic Amadeus, UAB",Vilnius / Remote,€ 2450 – 3700,Unspecified,2450.0,3700.0,3075.0,1250.0,Project Manager/Product Owner,Not Specified
Data Engineer,"Baltic Amadeus, UAB",Vilnius / Remote,€ 2500 – 4300,Unspecified,2500.0,4300.0,3400.0,1800.0,Data Engineer,Not Specified
.NET Developer (Junior),"Baltic Amadeus, UAB",Vilnius / Remote,€ 1100 – 2900,Junior,1100.0,2900.0,2000.0,1800.0,.NET Developer,Junior
Cloud Sales Assistant,"Baltic Amadeus, UAB",Vilnius / Remote,€ 1500 – 2200,Unspecified,1500.0,2200.0,1850.0,700.0,DevOps,Not Specified
