Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
PERFORMANCE DATA ANALYST (F/M/D) | IGNITIS RENEWABLES,Ignitis Group,Vilnius,€ 2401 – 3602,2401.0,3602.0,3001.5,1201.0,Data Analyst,Not Specified
Dirbtinio intelekto diegimo vadovas (-ė),"People Link, UAB",Vilnius,€ 5500 – 7400,5500.0,7400.0,6450.0,1900.0,Other,Not Specified
Control Software Developer,"Emplonet, UAB",Kaunas,€ 2500 – 5500,2500.0,5500.0,4000.0,3000.0,Software Developer,Not Specified
Experienced Frontend Engineer - Wix Forms,"Wix.com, UAB",Vilnius,€ 3000 – 8000,3000.0,8000.0,5500.0,5000.0,Front-end Web developer,Senior
Dirbtinio Intelekto Inžinierius (-ė),"People Link, UAB",Vilnius,€ 4000 – 5500,4000.0,5500.0,4750.0,1500.0,Other,Not Specified
HR|Payroll sprendimų diegėjas (-as) - konsultantas (-ė),"OIXIO, UAB",Vilnius / Remote,€ 3000 – 3700,3000.0,3700.0,3350.0,700.0,Other,Not Specified
"Senior Backend Engineer, Devex Platform","Wix.com, UAB",Vilnius,€ 5000 – 8000,5000.0,8000.0,6500.0,3000.0,Back-end developer,Senior
Brand and Web Designer - Design Hub Vilnius,"Wix.com, UAB",Vilnius,€ 3000 – 5500,3000.0,5500.0,4250.0,2500.0,Front-end Web developer,Not Specified
Frontend Engineer - Wix Emails,"Wix.com, UAB",Vilnius,€ 5000 – 8000,5000.0,8000.0,6500.0,3000.0,Front-end Web developer,Not Specified
Network Engineer,"Wix.com, UAB",Vilnius,€ 5500 – 8000,5500.0,8000.0,6750.0,2500.0,Other,Not Specified
Priežiūros specialistas (-ė),ADB „Gjensidige“,Vilnius,€ 1781 – 2671,1781.0,2671.0,2226.0,890.0,Other,Not Specified
TEAM LEAD OF IT SYSTEMS ANALYSIS,Ignitis Group,Vilnius,€ 3594 – 5390,3594.0,5390.0,4492.0,1796.0,Other,Senior
PROGRAMUOTOJAS (-A) (PASTATŲ VALDYMAS),UAB „Energus Group“,Vilnius,€ 2455 – 3801,2455.0,3801.0,3128.0,1346.0,Software Developer,Not Specified
IS plėtros skyriaus vadovas (-ė),"Emplonet, UAB",Vilnius,€ 3602 – 5900,3602.0,5900.0,4751.0,2298.0,Other,Not Specified
Junior Integration Engineer,"Johnson Matthey Global Business Services Lithuania, UAB",Vilnius,€ 3416 – 4666,3416.0,4666.0,4041.0,1250.0,Other,Junior
Integration Engineer,"Johnson Matthey Global Business Services Lithuania, UAB",Vilnius,€ 3958 – 5416,3958.0,5416.0,4687.0,1458.0,Other,Not Specified
Mid-Level Full-Stack Developer (React + .NET),UAB „Energus Group“,Vilnius,€ 3306 – 4959,3306.0,4959.0,4132.5,1653.0,.NET Developer,Mid
Vyr. programuotojas (-a) (JAVA),"Registrų centras, VĮ",Vilnius,€ 2880 – 4320,2880.0,4320.0,3600.0,1440.0,Java Developer,Senior
Vyr. programuotojas (-a) (.NET technologija),"Registrų centras, VĮ",Vilnius,€ 2880 – 4320,2880.0,4320.0,3600.0,1440.0,.NET Developer,Senior
Duomenų inžinierius(-ė)/Data Engineer,"Metso Global Business Services, UAB",Šiauliai,€ 2500 – 3200,2500.0,3200.0,2850.0,700.0,Data Engineer,Not Specified
IT Infrastructure Team Lead,FL Technics,Vilnius / Remote,€ 5000 – 5800,5000.0,5800.0,5400.0,800.0,Other,Senior
Savitarnos IS vystymo grupės vadovas (-ė),"Registrų centras, VĮ",Vilnius,€ 3520 – 5280,3520.0,5280.0,4400.0,1760.0,Other,Not Specified
AI DEVELOPER,UAB „Energus Group“,Vilnius,€ 3306 – 4959,3306.0,4959.0,4132.5,1653.0,Software Developer,Not Specified
AI Engineer,EY,Vilnius / Remote,€ 2100 – 4000,2100.0,4000.0,3050.0,1900.0,Data Scientist,Not Specified
.NET developer,"Elgama-Elektronika, UAB",Kaunas,€ 2800 – 4000,2800.0,4000.0,3400.0,1200.0,.NET Developer,Not Specified
IT sistemų specialistas (-ė),"Emplonet, UAB",Vilnius,€ 2454 – 2806,2454.0,2806.0,2630.0,352.0,Other,Not Specified
JAVA developer for Roxit team,"Visma Tech, UAB",Vilnius / Remote,€ 1600 – 4600,1600.0,4600.0,3100.0,3000.0,Java Developer,Not Specified
Back-End Software developer (Java),"Emplonet, UAB",Kaunas,€ 4600 – 5500,4600.0,5500.0,5050.0,900.0,Back-end developer,Not Specified
Workday Integration Specialist,"InMedica, UAB",Vilnius / Remote,€ 1900 – 4000,1900.0,4000.0,2950.0,2100.0,Other,Not Specified
