Title,Company,Location,Salary,min_salary,max_salary,avg_salary,salary_range,job_category,seniority
Java Technical Lead for Business to Government Unit,"Baltic Amadeus, UAB",Vilnius / Remote,€ 4500 – 5500,4500.0,5500.0,5000.0,1000.0,Java Developer,Senior
Senior Data Engineer,Indigroup,Vilnius,€ 5000 – 6000,5000.0,6000.0,5500.0,1000.0,Data Engineer,Senior
Sistemos ekspertė (-as),LTG,Vilnius,€ 2485 – 3725,2485.0,3725.0,3105.0,1240.0,Other,Senior
Vyr. testuotojas (-a) / Senior tester,"Registrų centras, VĮ",Vilnius,€ 2376 – 3564,2376.0,3564.0,2970.0,1188.0,QA Engineer,Senior
Kompetencijų centro pilotas(-ė) – operatorius(-ė) (20 val./per savaitę),"Oro navigacija, AB",Vilnius,€ 1032 – 1194,1032.0,1194.0,1113.0,162.0,Other,Not Specified
DYNAMICS 365 FINANCE AND OPERATIONS (AX) KONSULTANTĖ (-AS),Ignitis Group,Vilnius,€ 3066 – 4599,3066.0,4599.0,3832.5,1533.0,Other,Not Specified
Senior Systems Engineer - Windows Server,Moody's,Vilnius,€ 4200 – 6700,4200.0,6700.0,5450.0,2500.0,System Administrator/Architect,Senior
.NET Software Engineer in Wealth Planning and Investments Tribe,Danske Bank Lithuania,Vilnius,€ 3520 – 5280,3520.0,5280.0,4400.0,1760.0,.NET Developer,Not Specified
Flight Software Engineer,SIA Origin Robotics,Latvia,€ 3000 – 6000,3000.0,6000.0,4500.0,3000.0,Software Developer,Not Specified
Finansų tarnybos Duomenų analizės skyriaus vyriausiasis (-ioji) analitikas (-ė),Mykolo Romerio Universitetas,Vilnius,€ 1992 – 2696,1992.0,2696.0,2344.0,704.0,Data Analyst,Senior
Analitikas (-ė),VšĮ Medijų rėmimo fondas,Vilnius / Remote,€ 2200 – 2600,2200.0,2600.0,2400.0,400.0,Data Analyst,Not Specified
"Vyr. duomenų analitikas (-ė) (statistikos, duomenų mokslo sritys)","Registrų centras, VĮ",Lithuania / Remote,€ 2628 – 3942,2628.0,3942.0,3285.0,1314.0,Data Analyst,Senior
IT TESTUOTOJA (-AS),Ignitis Group,Vilnius,€ 2240 – 3361,2240.0,3361.0,2800.5,1121.0,QA Engineer,Not Specified
Įmonės direktorius (-ė) (IT paslaugas teikianti įmonė),"Personalo valdymo inovacijos, UAB",Vilnius,€ 8265 – 10744,8265.0,10744.0,9504.5,2479.0,Other,Not Specified
Senior Full Stack Developer in Process Information Management,Danske Bank Lithuania,Vilnius,€ 4400 – 6600,4400.0,6600.0,5500.0,2200.0,Full-stack Developer,Senior
Full Stack Developer in Process Information Management,Danske Bank Lithuania,Vilnius,€ 3440 – 5160,3440.0,5160.0,4300.0,1720.0,Full-stack Developer,Not Specified
Senior Software Engineer (.NET) in Markets Analytics Platform Tribe,Danske Bank Lithuania,Vilnius,€ 4560 – 6840,4560.0,6840.0,5700.0,2280.0,Data Analyst,Senior
Senior IT Solution Architect for Pay Transparency Program,Danske Bank Lithuania,Vilnius,€ 5440 – 8160,5440.0,8160.0,6800.0,2720.0,Other,Senior
"Tech Lead / Solution Architect in Mobile Team | SEB, Vilnius",SEB,Vilnius,€ 4350 – 6550,4350.0,6550.0,5450.0,2200.0,Business Analyst,Senior
B2B Sales Manager,Sopena Group (Baltic),Vilnius,€ 2000 – 3500,2000.0,3500.0,2750.0,1500.0,Other,Not Specified
IT ANALITIKĖ (-AS),Ignitis Group,Vilnius,€ 2379 – 3568,2379.0,3568.0,2973.5,1189.0,Other,Not Specified
INTEGRACIJŲ INŽINERIJOS PLĖTROS VADOVĖ (-AS) (SCRUM MASTER),Ignitis Group,Vilnius,€ 3466 – 5199,3466.0,5199.0,4332.5,1733.0,Other,Not Specified
Vyriausiasis finansinių rizikų analitikas - modeliuotojas (-a),UAB ILTE,Vilnius,€ 4000 – 4800,4000.0,4800.0,4400.0,800.0,Data Analyst,Senior
