Title;Company;Location;Salary;Seniority;Published;Skills
SKAITMENINĖS SAUGOS EKSPERTĖ (-AS) (ATSINAUJINANTI ENERGETIKA);Ignitis grupė;Vilnius;4403-6604;N/A;9 days ago;go, ai
HR|Payroll sprendimų diegėjas (-as) - konsultantas (-ė);OIXIO, UAB;Vilnius;3000-3700;N/A;9 days ago;ai
Junior - Mid PHP Full-stack programuotojas;UAB „ThinkBig LT“;Kaunas;2000-3000;Junior;9 days ago;java, javascript, php, go, html, css, node.js, ai, git, rest api
Mid./ Senior .NET PROGRAMUOTOJAS (-A);UAB „SCM Software“;Vilnius;Up to 3800;Senior;N/A;java, javascript, go, sql, html, css, bootstrap, angular, ai, agile, scrum, soap
Product Specialist;UAB „DPD Lietuva“;Vilnius;2900-3300;N/A;9 days ago;ai
Trade & Shopper Marketing Manager;UAB „Indigroup“;Vilnius;5700-7500;N/A;9 days ago;go, ai, git
Senior Golang Engineer;UAB „Decentralized“;Vilnius;5000-10000;Senior;9 days ago;go, sql, mysql, postgresql, less, docker, kubernetes, aws, gcp, ai, devops, ci/cd, git, github, agile, graphql, kafka
IT inžinierius;UAB „GoIT“;Vilnius;From 1400;N/A;10 days ago;go, ai
Process Engineer Intern;UAB „Continental Automotive Lithuania“;Kaunas;From 1074;Junior;10 days ago;go, ai
Tinklų ir informacinių sistemų auditorius (-ė);Nacionalinis kibernetinio saugumo centras prie KAM;Vilnius;3000-4100;N/A;10 days ago;go, ai
Gaming Technical Assistant (Help Desk);UAB „Nordcurrent Group“;Vilnius;1360-2125;N/A;10 days ago;go, ai
IT Infrastructure Manager;UAB Walletto;Vilnius;From 5000;N/A;10 days ago;python, go, sql, nosql, docker, terraform, ansible, ai, linux, vpn
IS SPECIALISTAS (-Ė);UAB Emplonet;Vilnius;2900-3100;N/A;10 days ago;java, c#, go, sql, ai
MID LEVEL C++ SOFTWARE ENGINEER;UAB Emplonet;Vilnius;3800-5000;Mid;10 days ago;c++, ai, git, agile, linux
SYSTEM (AZURE) ADMINISTRATOR;UAB Emplonet;Kaunas;2500-2700;N/A;10 days ago;go, less, docker, kubernetes, azure, ai, devops, ci/cd, networking, vpn
VYR. IS ADMINISTRATORIUS (-Ė);UAB Emplonet;Vilnius;3300-4500;N/A;10 days ago;go, ai
PRODUKTO VADOVAS (-Ė);UAB Emplonet;Vilnius;3800-4000;N/A;10 days ago;go, ai
